mapa_key,ccaa_code,ccaa_label,population_share_pct,volume_share_pct,informe_page,provenance,note
BOLLERIA_PASTELERIA,01,Andalucia,17.52,15.80,138,informe_chart,
BOLLERIA_PASTELERIA,13,Comunidad de Madrid,13.86,15.15,138,informe_chart,
CAFES_INFUSIONES,09,Cataluna,16.26,16.16,170,informe_chart,
CAFES_INFUSIONES,10,Comunitat Valenciana,11.14,10.99,170,informe_chart,
CAFES_INFUSIONES,01,Andalucia,17.52,17.35,170,informe_chart,
CAFES_INFUSIONES,13,Comunidad de Madrid,13.86,12.88,170,informe_chart,
CARNE_CERDO,09,Cataluna,16.30,17.30,198,informe_table,
CARNE_CERDO,10,Comunitat Valenciana,11.10,11.40,198,informe_table,
CARNE_CERDO,01,Andalucia,17.50,17.30,198,informe_table,
CARNE_CERDO,13,Comunidad de Madrid,13.90,12.10,198,informe_table,
CARNE_CONEJO,09,Cataluna,16.30,23.80,201,informe_table,
CARNE_CONEJO,10,Comunitat Valenciana,11.10,15.80,201,informe_table,
CARNE_CONEJO,01,Andalucia,17.50,9.20,201,informe_table,
CARNE_CONEJO,13,Comunidad de Madrid,13.90,8.90,201,informe_table,
CARNE_FRESCA_OTRAS,09,Cataluna,16.30,17.50,184,informe_table,Perfil do agregado CARNE FRESCA.
CARNE_FRESCA_OTRAS,10,Comunitat Valenciana,11.10,11.70,184,informe_table,Perfil do agregado CARNE FRESCA.
CARNE_FRESCA_OTRAS,01,Andalucia,17.50,16.10,184,informe_table,Perfil do agregado CARNE FRESCA.
CARNE_FRESCA_OTRAS,13,Comunidad de Madrid,13.90,13.20,184,informe_table,Perfil do agregado CARNE FRESCA.
CARNE_OVINO_CAPRINO,09,Cataluna,16.30,18.90,195,informe_table,
CARNE_OVINO_CAPRINO,10,Comunitat Valenciana,11.10,12.40,195,informe_table,
CARNE_OVINO_CAPRINO,01,Andalucia,17.50,8.10,195,informe_table,
CARNE_OVINO_CAPRINO,13,Comunidad de Madrid,13.90,15.70,195,informe_table,
CARNE_POLLO,09,Cataluna,16.30,17.00,191,informe_table,
CARNE_POLLO,10,Comunitat Valenciana,11.10,12.20,191,informe_table,
CARNE_POLLO,01,Andalucia,17.50,17.70,191,informe_table,
CARNE_POLLO,13,Comunidad de Madrid,13.90,13.40,191,informe_table,
CARNE_TRANSFORMADA,09,Cataluna,16.30,16.50,206,informe_table,
CARNE_TRANSFORMADA,10,Comunitat Valenciana,11.10,10.40,206,informe_table,
CARNE_TRANSFORMADA,01,Andalucia,17.50,18.80,206,informe_table,
CARNE_TRANSFORMADA,13,Comunidad de Madrid,13.90,14.00,206,informe_table,
CARNE_VACUNO,09,Cataluna,16.30,18.00,188,informe_table,
CARNE_VACUNO,10,Comunitat Valenciana,11.10,9.50,188,informe_table,
CARNE_VACUNO,01,Andalucia,17.50,10.80,188,informe_table,
CARNE_VACUNO,13,Comunidad de Madrid,13.90,16.10,188,informe_table,
CERVEZA,09,Cataluna,16.30,13.60,107,informe_table,
CERVEZA,10,Comunitat Valenciana,11.10,11.80,107,informe_table,
CERVEZA,01,Andalucia,17.50,25.20,107,informe_table,
CERVEZA,13,Comunidad de Madrid,13.90,14.20,107,informe_table,
CHOCOLATES_CACAOS,09,Cataluna,16.26,15.55,214,informe_chart,
CHOCOLATES_CACAOS,10,Comunitat Valenciana,11.14,10.46,214,informe_chart,
CHOCOLATES_CACAOS,01,Andalucia,17.52,16.95,214,informe_chart,
CHOCOLATES_CACAOS,13,Comunidad de Madrid,13.86,11.96,214,informe_chart,
CONSERVAS_PESCADO_MARISCO,09,Cataluna,16.30,15.60,427,informe_table,
CONSERVAS_PESCADO_MARISCO,10,Comunitat Valenciana,11.10,10.70,427,informe_table,
CONSERVAS_PESCADO_MARISCO,01,Andalucia,17.50,17.80,427,informe_table,
CONSERVAS_PESCADO_MARISCO,13,Comunidad de Madrid,13.90,13.30,427,informe_table,
FRUTAS_FRESCAS,09,Cataluna,16.26,16.05,224,informe_chart,
FRUTAS_FRESCAS,10,Comunitat Valenciana,11.14,10.66,224,informe_chart,
FRUTAS_FRESCAS,01,Andalucia,17.52,16.46,224,informe_chart,
FRUTAS_FRESCAS,13,Comunidad de Madrid,13.86,13.36,224,informe_chart,
FRUTAS_HORTALIZAS_TRANSFORMADAS,09,Cataluna,16.26,16.46,238,informe_chart,
FRUTAS_HORTALIZAS_TRANSFORMADAS,10,Comunitat Valenciana,11.14,11.44,238,informe_chart,
FRUTAS_HORTALIZAS_TRANSFORMADAS,01,Andalucia,17.52,16.93,238,informe_chart,
FRUTAS_HORTALIZAS_TRANSFORMADAS,13,Comunidad de Madrid,13.86,14.65,238,informe_chart,
FRUTOS_SECOS,09,Cataluna,16.26,16.05,247,informe_chart,
FRUTOS_SECOS,10,Comunitat Valenciana,11.14,12.39,247,informe_chart,
FRUTOS_SECOS,01,Andalucia,17.52,16.65,247,informe_chart,
FRUTOS_SECOS,13,Comunidad de Madrid,13.86,13.29,247,informe_chart,
HARINAS_SEMOLAS,09,Cataluna,16.26,12.92,374,informe_chart,
HARINAS_SEMOLAS,10,Comunitat Valenciana,11.14,11.28,374,informe_chart,
HARINAS_SEMOLAS,01,Andalucia,17.52,15.94,374,informe_chart,
HARINAS_SEMOLAS,13,Comunidad de Madrid,13.86,12.42,374,informe_chart,
HORTALIZAS_FRESCAS,09,Cataluna,16.26,18.41,258,informe_chart,
HORTALIZAS_FRESCAS,10,Comunitat Valenciana,11.14,11.27,258,informe_chart,
HORTALIZAS_FRESCAS,01,Andalucia,17.52,16.65,258,informe_chart,
HORTALIZAS_FRESCAS,13,Comunidad de Madrid,13.86,12.88,258,informe_chart,
HUEVOS,09,Cataluna,16.26,16.39,270,informe_chart,
HUEVOS,10,Comunitat Valenciana,11.14,11.88,270,informe_chart,
HUEVOS,01,Andalucia,17.52,16.13,270,informe_chart,
HUEVOS,13,Comunidad de Madrid,13.86,14.02,270,informe_chart,
LECHES_FERMENTADAS,09,Cataluna,16.30,16.50,331,informe_table,
LECHES_FERMENTADAS,10,Comunitat Valenciana,11.10,9.10,331,informe_table,
LECHES_FERMENTADAS,01,Andalucia,17.50,16.70,331,informe_table,
LECHES_FERMENTADAS,13,Comunidad de Madrid,13.90,13.00,331,informe_table,
LECHE_DESNATADA,09,Cataluna,16.30,13.30,298,informe_table,
LECHE_DESNATADA,10,Comunitat Valenciana,11.10,10.70,298,informe_table,
LECHE_DESNATADA,01,Andalucia,17.50,10.50,298,informe_table,
LECHE_DESNATADA,13,Comunidad de Madrid,13.90,14.80,298,informe_table,
LECHE_ENTERA,09,Cataluna,16.30,13.40,290,informe_table,
LECHE_ENTERA,10,Comunitat Valenciana,11.10,9.10,290,informe_table,
LECHE_ENTERA,01,Andalucia,17.50,16.00,290,informe_table,
LECHE_ENTERA,13,Comunidad de Madrid,13.90,14.20,290,informe_table,
LECHE_SEMIDESNATADA,09,Cataluna,16.30,13.90,294,informe_table,
LECHE_SEMIDESNATADA,10,Comunitat Valenciana,11.10,9.90,294,informe_table,
LECHE_SEMIDESNATADA,01,Andalucia,17.50,17.90,294,informe_table,
LECHE_SEMIDESNATADA,13,Comunidad de Madrid,13.90,14.50,294,informe_table,
LEGUMBRES,09,Cataluna,16.26,18.84,338,informe_chart,
LEGUMBRES,10,Comunitat Valenciana,11.14,11.08,338,informe_chart,
LEGUMBRES,01,Andalucia,17.52,15.98,338,informe_chart,
LEGUMBRES,13,Comunidad de Madrid,13.86,12.87,338,informe_chart,
MARISCOS_MOLUSCOS_CRUSTACEOS,09,Cataluna,16.30,17.50,421,informe_table,
MARISCOS_MOLUSCOS_CRUSTACEOS,10,Comunitat Valenciana,11.10,9.90,421,informe_table,
MARISCOS_MOLUSCOS_CRUSTACEOS,01,Andalucia,17.50,19.50,421,informe_table,
MARISCOS_MOLUSCOS_CRUSTACEOS,13,Comunidad de Madrid,13.90,10.70,421,informe_table,
MIEL,09,Cataluna,16.26,19.64,347,informe_chart,
MIEL,10,Comunitat Valenciana,11.14,13.66,347,informe_chart,
MIEL,01,Andalucia,17.52,15.85,347,informe_chart,
MIEL,13,Comunidad de Madrid,13.86,12.49,347,informe_chart,
PAN,09,Cataluna,16.26,14.97,362,informe_chart,
PAN,10,Comunitat Valenciana,11.14,10.64,362,informe_chart,
PAN,01,Andalucia,17.52,18.14,362,informe_chart,
PAN,13,Comunidad de Madrid,13.86,12.44,362,informe_chart,
PASTAS,09,Cataluna,16.26,20.70,383,informe_chart,
PASTAS,10,Comunitat Valenciana,11.14,12.09,383,informe_chart,
PASTAS,01,Andalucia,17.52,15.89,383,informe_chart,
PASTAS,13,Comunidad de Madrid,13.86,12.97,383,informe_chart,
PATATAS,09,Cataluna,16.26,15.95,391,informe_chart,
PATATAS,10,Comunitat Valenciana,11.14,10.65,391,informe_chart,
PATATAS,01,Andalucia,17.52,19.56,391,informe_chart,
PATATAS,13,Comunidad de Madrid,13.86,12.97,391,informe_chart,
PESCADOS_CONGELADOS,09,Cataluna,16.26,15.41,404,informe_chart,Perfil do agregado PESCADOS Y MARISCOS.
PESCADOS_CONGELADOS,10,Comunitat Valenciana,11.14,9.74,404,informe_chart,Perfil do agregado PESCADOS Y MARISCOS.
PESCADOS_CONGELADOS,01,Andalucia,17.52,18.23,404,informe_chart,Perfil do agregado PESCADOS Y MARISCOS.
PESCADOS_CONGELADOS,13,Comunidad de Madrid,13.86,12.78,404,informe_chart,Perfil do agregado PESCADOS Y MARISCOS.
PESCADO_FRESCO,09,Cataluna,16.30,14.20,408,informe_table,
PESCADO_FRESCO,10,Comunitat Valenciana,11.10,8.20,408,informe_table,
PESCADO_FRESCO,01,Andalucia,17.50,17.30,408,informe_table,
PESCADO_FRESCO,13,Comunidad de Madrid,13.90,14.00,408,informe_table,
PLATOS_PREPARADOS,09,Cataluna,16.26,19.83,446,informe_chart,
PLATOS_PREPARADOS,10,Comunitat Valenciana,11.14,11.46,446,informe_chart,
PLATOS_PREPARADOS,01,Andalucia,17.52,17.60,446,informe_chart,
PLATOS_PREPARADOS,13,Comunidad de Madrid,13.86,15.11,446,informe_chart,
QUESOS,09,Cataluna,16.30,17.00,325,informe_table,
QUESOS,10,Comunitat Valenciana,11.10,12.00,325,informe_table,
QUESOS,01,Andalucia,17.50,16.50,325,informe_table,
QUESOS,13,Comunidad de Madrid,13.90,13.50,325,informe_table,
VINO,09,Cataluna,16.30,21.80,102,informe_table,
VINO,10,Comunitat Valenciana,11.10,10.00,102,informe_table,
VINO,01,Andalucia,17.50,18.40,102,informe_table,
VINO,13,Comunidad de Madrid,13.90,10.30,102,informe_table,
ZUMOS,09,Cataluna,16.30,16.90,131,informe_table,
ZUMOS,10,Comunitat Valenciana,11.10,12.60,131,informe_table,
ZUMOS,01,Andalucia,17.50,17.40,131,informe_table,
ZUMOS,13,Comunidad de Madrid,13.90,14.00,131,informe_table,
