mapa_key,age_band,population_share_pct,volume_share_pct,informe_page,provenance,note
FRUTAS_HORTALIZAS_TRANSFORMADAS,35_49,30.33,27.72,236,informe_chart,
FRUTAS_HORTALIZAS_TRANSFORMADAS,50_64,31.34,34.02,236,informe_chart,
FRUTAS_HORTALIZAS_TRANSFORMADAS,GE65,29.44,31.88,236,informe_chart,
FRUTOS_SECOS,LT35,8.89,4.08,245,informe_chart,
FRUTOS_SECOS,35_49,30.33,24.31,245,informe_chart,
FRUTOS_SECOS,50_64,31.34,36.31,245,informe_chart,
FRUTOS_SECOS,GE65,29.44,35.30,245,informe_chart,
HARINAS_SEMOLAS,LT35,8.89,8.90,373,informe_chart,
HARINAS_SEMOLAS,35_49,30.33,26.84,373,informe_chart,
HARINAS_SEMOLAS,50_64,31.34,31.67,373,informe_chart,
HARINAS_SEMOLAS,GE65,29.44,32.60,373,informe_chart,
HORTALIZAS_FRESCAS,LT35,8.89,4.54,256,informe_chart,
HORTALIZAS_FRESCAS,35_49,30.33,21.44,256,informe_chart,
HORTALIZAS_FRESCAS,50_64,31.34,34.18,256,informe_chart,
HORTALIZAS_FRESCAS,GE65,29.44,39.84,256,informe_chart,
HUEVOS,LT35,8.89,6.57,268,informe_chart,
HUEVOS,35_49,30.33,25.31,268,informe_chart,
HUEVOS,50_64,31.34,34.15,268,informe_chart,
HUEVOS,GE65,29.44,33.97,268,informe_chart,
LECHES_FERMENTADAS,LT35,8.90,5.40,331,informe_table,
LECHES_FERMENTADAS,35_49,30.30,28.90,331,informe_table,
LECHES_FERMENTADAS,50_64,31.30,34.00,331,informe_table,
LECHES_FERMENTADAS,GE65,29.40,31.60,331,informe_table,
LECHE_DESNATADA,LT35,8.90,4.20,298,informe_table,
LECHE_DESNATADA,35_49,30.30,23.70,298,informe_table,
LECHE_DESNATADA,50_64,31.30,35.60,298,informe_table,
LECHE_DESNATADA,GE65,29.40,36.50,298,informe_table,
LECHE_ENTERA,LT35,8.90,7.50,290,informe_table,
LECHE_ENTERA,35_49,30.30,36.60,290,informe_table,
LECHE_ENTERA,50_64,31.30,28.70,290,informe_table,
LECHE_ENTERA,GE65,29.40,27.30,290,informe_table,
LECHE_SEMIDESNATADA,LT35,8.90,5.20,294,informe_table,
LECHE_SEMIDESNATADA,35_49,30.30,27.60,294,informe_table,
LECHE_SEMIDESNATADA,50_64,31.30,33.10,294,informe_table,
LECHE_SEMIDESNATADA,GE65,29.40,34.10,294,informe_table,
LEGUMBRES,LT35,8.89,6.42,337,informe_chart,
LEGUMBRES,35_49,30.33,24.23,337,informe_chart,
LEGUMBRES,50_64,31.34,34.39,337,informe_chart,
LEGUMBRES,GE65,29.44,34.96,337,informe_chart,
MARISCOS_MOLUSCOS_CRUSTACEOS,LT35,8.90,2.50,421,informe_table,
MARISCOS_MOLUSCOS_CRUSTACEOS,35_49,30.30,17.40,421,informe_table,
MARISCOS_MOLUSCOS_CRUSTACEOS,50_64,31.30,35.80,421,informe_table,
MARISCOS_MOLUSCOS_CRUSTACEOS,GE65,29.40,44.30,421,informe_table,
MIEL,LT35,8.89,4.42,346,informe_chart,
MIEL,35_49,30.33,17.72,346,informe_chart,
MIEL,50_64,31.34,36.04,346,informe_chart,
MIEL,GE65,29.44,41.82,346,informe_chart,
PAN,LT35,8.89,3.64,360,informe_chart,
PAN,35_49,30.33,23.74,360,informe_chart,
PAN,50_64,31.34,37.00,360,informe_chart,
PAN,GE65,29.44,35.62,360,informe_chart,
PASTAS,LT35,8.89,8.37,381,informe_chart,
PASTAS,35_49,30.33,32.76,381,informe_chart,
PASTAS,50_64,31.34,34.34,381,informe_chart,
PASTAS,GE65,29.44,24.54,381,informe_chart,
PATATAS,LT35,8.89,4.85,389,informe_chart,
PATATAS,35_49,30.33,25.05,389,informe_chart,
PATATAS,50_64,31.34,35.17,389,informe_chart,
PATATAS,GE65,29.44,34.93,389,informe_chart,
PESCADOS_CONGELADOS,LT35,8.89,3.42,402,informe_chart,Perfil do agregado PESCADOS Y MARISCOS: o informe nao abre corte demografico do congelado.
PESCADOS_CONGELADOS,35_49,30.33,20.02,402,informe_chart,Perfil do agregado PESCADOS Y MARISCOS: o informe nao abre corte demografico do congelado.
PESCADOS_CONGELADOS,50_64,31.34,36.01,402,informe_chart,Perfil do agregado PESCADOS Y MARISCOS: o informe nao abre corte demografico do congelado.
PESCADOS_CONGELADOS,GE65,29.44,40.55,402,informe_chart,Perfil do agregado PESCADOS Y MARISCOS: o informe nao abre corte demografico do congelado.
PESCADO_FRESCO,LT35,8.90,2.80,408,informe_table,
PESCADO_FRESCO,35_49,30.30,17.60,408,informe_table,
PESCADO_FRESCO,50_64,31.30,35.90,408,informe_table,
PESCADO_FRESCO,GE65,29.40,43.70,408,informe_table,
PLATOS_PREPARADOS,LT35,8.89,7.05,444,informe_chart,
PLATOS_PREPARADOS,35_49,30.33,32.32,444,informe_chart,
PLATOS_PREPARADOS,50_64,31.34,34.21,444,informe_chart,
PLATOS_PREPARADOS,GE65,29.44,26.42,444,informe_chart,
QUESOS,LT35,8.90,6.60,325,informe_table,
QUESOS,35_49,30.30,30.20,325,informe_table,
QUESOS,50_64,31.30,34.30,325,informe_table,
QUESOS,GE65,29.40,28.90,325,informe_table,
VINO,LT35,8.90,1.70,102,derived,LT35 fechado por residuo: a tabela da pagina omite a linha.
VINO,35_49,30.30,14.00,102,derived,LT35 fechado por residuo: a tabela da pagina omite a linha.
VINO,50_64,31.30,35.40,102,derived,LT35 fechado por residuo: a tabela da pagina omite a linha.
VINO,GE65,29.40,48.90,102,derived,LT35 fechado por residuo: a tabela da pagina omite a linha.
ZUMOS,LT35,8.90,7.80,131,informe_table,
ZUMOS,35_49,30.30,30.00,131,informe_table,
ZUMOS,50_64,31.30,33.80,131,informe_table,
ZUMOS,GE65,29.40,28.40,131,informe_table,
